"","total_cont","total_cust","zip_code","lat","long"
"432",25,1,17751,41.108454,-77.49516
"433",25,1,17822,40.967437,-76.604896
"434",50,1,18017,40.645665,-75.36926
"435",105,3,18020,40.656498,-75.32938
"436",25,1,18042,40.681798,-75.22082
"437",25,1,18052,40.651751,-75.49224
"438",30,1,18078,40.675741,-75.61626
"439",10,1,18080,40.739576,-75.62113
"440",25,1,18355,41.074757,-75.36259
"441",25,1,18901,40.317473,-75.12854
"442",250,1,18938,40.354735,-74.99319
"443",25,1,19002,40.169608,-75.21158
"444",505,2,19010,40.02371,-75.32764
"445",25,1,19027,40.072293,-75.12406
"446",25,1,19044,40.184758,-75.14386
"447",5,1,19064,39.929511,-75.33562
"448",150,3,19066,40.003762,-75.2493
"449",25,1,19073,39.98451,-75.41265
"450",435,3,19083,39.978728,-75.30861
"451",10,1,19087,40.058808,-75.40069
"452",25,1,19130,39.968262,-75.17222
"453",25,1,19146,39.938512,-75.18067
"454",180,1,19312,40.037958,-75.44986
"455",25,1,19403,40.146069,-75.38378
"456",50,1,19422,40.157526,-75.27816
"457",100,2,19606,40.327741,-75.87002
"458",30,2,19610,40.335023,-75.97099
"459",50,1,19803,39.793962,-75.53401
"460",400,4,19953,39.150822,-75.70428
"461",25,1,19966,38.601355,-75.2411
"462",10,1,19977,39.29799,-75.59391
"463",50,2,20002,38.901811,-76.99097
"464",25,1,20008,38.934866,-77.06039
"465",260,8,20011,38.95211,-77.02097
"466",25,1,20024,38.880112,-77.02362
"467",5,1,20169,38.860551,-77.64947
"468",25,1,20170,38.977109,-77.38527
"469",25,1,20175,39.080037,-77.58025
"470",350,5,20176,39.138978,-77.54519
"471",125,3,20190,38.959673,-77.3462
"472",25,1,20740,38.99756,-76.92577
"473",25,1,20785,38.920111,-76.889
"474",100,1,20817,38.996842,-77.13519
"475",25,1,20872,39.284185,-77.22752
"476",25,1,20879,39.168656,-77.18716
"477",680,4,21061,39.164158,-76.6306
"478",50,1,21087,39.444457,-76.40817
"479",25,1,21108,39.099957,-76.62114
"480",25,1,21120,39.656737,-76.66001
"481",25,1,21204,39.405606,-76.62648
"482",25,1,21223,39.286556,-76.64644
"483",25,1,21403,38.946462,-76.48358
"484",7950,34,21502,39.646587,-78.77398
"485",125,5,21536,39.675393,-79.17045
"486",50,2,21550,39.409861,-79.39015
"487",555,4,21740,39.633946,-77.73025
"488",25,1,21758,39.342991,-77.66014
"489",50,2,21774,39.408627,-77.28676
"490",25,1,22043,38.901311,-77.19777
"491",25,1,22101,38.93276,-77.1677
"492",10,1,22124,38.88619,-77.32402
"493",25,1,22201,38.885337,-77.09512
"494",280,7,22207,38.903697,-77.12749
"495",75,2,22734,38.52916,-77.80274
"496",12000,6,22844,38.652274,-78.66417
"497",25,1,22902,38.00847,-78.47803
"498",25,1,23112,37.427988,-77.64868
"499",10,1,23114,37.48,-77.65
"500",60,3,23228,37.621745,-77.48896
"501",100,3,23322,36.687543,-76.22905
"502",25,1,23452,36.839209,-76.09333
"503",740,7,23608,37.151315,-76.54812
"504",50,1,24471,38.310311,-78.80409
"505",25,1,25271,38.803814,-81.70763
"506",25,1,25314,38.335969,-81.66084
"507",1250,4,25411,39.567987,-78.22783
"508",25,1,25705,38.410745,-82.36995
"509",6009,85,26003,40.071472,-80.6868
"510",75,3,26034,40.609272,-80.55893
"511",350,2,26035,40.352943,-80.55585
"512",460,13,26037,40.330969,-80.58889
"513",25,1,26038,39.951586,-80.74994
"514",125,5,26041,39.912923,-80.73701
"515",20,1,26047,40.519953,-80.58925
"516",15,1,26055,39.768143,-80.79867
"517",115,5,26060,40.104818,-80.54634
"518",5622,72,26062,40.412067,-80.57542
"519",185,5,26070,40.266698,-80.59709
"520",105,3,26104,39.285724,-81.52639
"521",100,3,26105,39.323907,-81.54206
"522",2210,23,26155,39.646099,-80.83465
"523",25,1,26167,39.550395,-80.71163
"524",350,7,26201,38.997267,-80.20915
"525",500,11,26241,38.920042,-79.8446
"526",318.75,11,26301,39.281289,-80.34348
"527",4995,22,26302,39.26277,-80.30858
"528",1805,12,26330,39.296499,-80.24199
"529",225,4,26347,39.258358,-80.12604
"530",25,1,26378,39.106153,-80.42691
"531",125,4,26385,39.163304,-80.35527
"532",5,1,26426,39.284467,-80.57219
"533",1635,30,26501,39.628475,-79.98796
"534",915,13,26505,39.646497,-79.95154
"535",25,1,26507,39.680786,-79.836473
"536",1235,22,26508,39.61098,-79.89947
"537",25,1,26531,39.607447,-79.89012
"538",50,2,26537,39.472924,-79.69873
"539",410,15,26554,39.470949,-80.13936
"540",25,1,26571,39.513513,-80.25738
"541",25,1,27030,36.49376,-80.62336
"542",25,1,27409,36.083885,-79.94122
"543",25,1,27519,35.76812,-78.829548
"544",25,1,27614,35.939255,-78.60317
"545",1365,6,27932,36.093252,-76.62077
"546",10,1,28104,35.067285,-80.68424
"547",1640,8,28117,35.571827,-80.89228
"548",90,1,28209,35.178543,-80.85375
"549",10500,9,28211,35.170094,-80.79857
"550",25,1,28348,34.954709,-78.93744
"551",25,1,28358,34.620874,-78.98986
"552",150,2,28405,34.254235,-77.87251
"553",400,3,28466,34.738793,-77.97788
"554",300,6,28467,33.905566,-78.5759
"555",505,5,29016,34.200042,-80.98653
"556",25,1,29485,32.983408,-80.17627
"557",160,1,29576,33.568115,-79.03226
"558",75,3,29579,33.729439,-78.97824
"559",160,4,29585,33.467343,-79.1301
"560",100,1,29732,34.969427,-81.0509
"561",20000,4,29803,33.486049,-81.70946
"562",25,1,29910,32.241315,-80.87404
"563",194694,34,29928,32.159476,-80.75144
"564",75,3,30033,33.811354,-84.28335
"565",25,1,30064,33.946735,-84.602
"566",25,1,30075,34.049789,-84.38539
"567",25,1,30240,33.029838,-85.0745
"568",25,1,30319,33.872053,-84.33611
"569",25,1,32034,30.641487,-81.46092
"570",3,1,32068,30.074926,-81.87932
"571",25,1,32082,30.189934,-81.38213
"572",100,2,32127,29.116361,-80.98175
"573",25,1,32137,29.581683,-81.21645
"574",90,3,32162,28.945246,-81.987609
"575",100,1,32163,28.93,-81.95
"576",12030,29,32168,29.016897,-80.95736
"577",150,2,32169,28.998887,-80.87561
"578",25,1,32216,30.28374,-81.58359
"579",25,1,32720,29.021782,-81.33352
"580",300,6,32763,28.945857,-81.30512
"581",25,1,32765,28.656375,-81.21026
"582",225,3,32801,28.541879,-81.37446
"583",25,1,32803,28.557579,-81.35244
"584",25,1,32807,28.546897,-81.30774
"585",867,9,32821,28.391608,-81.47345
"586",100,3,32832,28.395979,-81.17653
"587",75,3,32837,28.385906,-81.41182
"588",300,6,32926,28.392933,-80.79585
"589",25,1,33015,25.938687,-80.3182
"590",75,3,33016,25.887983,-80.33284
"591",25,1,33040,24.567593,-81.7566
"592",25,1,33067,26.3007,-80.22727
"593",75,2,33071,26.242559,-80.26564
"594",100,2,33138,25.853184,-80.18622
"595",25,1,33328,26.062016,-80.27202
"596",15,1,33330,26.05479,-80.31581
"597",50,2,33410,26.839588,-80.08824
"598",200,7,33414,26.65671,-80.25377
"599",200,4,33418,26.877984,-80.16052
